,Stage Name,Full Name,Date of Birth,Group,Debut,Company,Country,Height,Weight,Birthplace,Other Group,Former Group,Gender,age,Debut Age,Zodiac
897,Krystal,Krystal Jung,1994-10-24,f(x),2009-09-05,SM,South Korea,165.0,,San Francisco,,,F,29.0,14.0,Scorpio
898,Kuhn,Noh Sooil,1995-11-11,UP10TION,2015-09-10,TOP Media,South Korea,,,Ansan,,,M,28.0,19.0,Scorpio
899,Kun,Qian Kun,1996-01-01,NCT,2016-04-09,SM,China,,,,,,M,28.0,20.0,Capricorn
900,Kwanghee,Hwang Kwanghee,1988-08-25,ZE:A,2010-01-07,Star Empire,South Korea,,,Paju,,,M,35.0,21.0,Virgo
901,Kwangjin,Kwon Kwangjin,1992-08-12,N.Flying,2015-05-20,FNC,South Korea,,,Seoul,,CNBLUE,M,31.0,22.0,Leo
902,Kwangmin,Jo Kwangmin,1995-04-24,Boyfriend,2011-05-26,Starship,South Korea,180.0,,Anyang,,,M,28.0,16.0,Taurus
903,Kyeongheon,Yoon Kyeongheon,1998-01-06,We In The Zone,2019-05-27,Choon,South Korea,175.0,60.0,Suncheon,,,M,26.0,21.0,Capricorn
904,Kyla,Kyla Massie,2001-12-26,Pristin,2017-03-21,Pledis,USA,,,California,,,F,22.0,15.0,Capricorn
905,Kyle,Ma Jaekyung,1997-01-15,Romeo,2015-11-04,CT,South Korea,,,,,,M,27.0,18.0,Capricorn
906,Kyrin,Park Geumju,2000-02-23,Girls' World,2002-06-20,Liz,South Korea,156.0,,Daejeon,,,F,24.0,2.0,Pisces
907,Kyuhwan,Lee Kyuhwan,1994-09-18,SIGNAL,2019-08-28,J-Star,South Korea,,,,,E7,M,29.0,24.0,Virgo
908,Kyuhyuk,Shim Kyuhyuk,1995-01-11,Hot Blood Youth,2017-05-17,FNC,South Korea,,,,,,M,29.0,22.0,Capricorn
909,Kyuhyun,Cho Kyuhyun,1988-02-03,Super Junior,2005-11-06,SM,South Korea,180.0,68.0,Seoul,Super Junior-M,,M,36.0,17.0,Aquarius
910,Kyujin,Jang Kyujin,2006-05-26,NMIXX,2022-02-22,JYP,South Korea,,,,,,F,17.0,15.0,Gemini
911,Kyulkyung,Zhou Jieqiong,1998-12-16,Pristin,2017-03-21,Pledis,China,167.0,49.0,Taizhou,I.O.I| Pristin V,,F,25.0,18.0,Sagittarius
912,Kyungho,Jang Kyungho,2001-05-07,TOO,2020-04-01,n.CH,South Korea,,,,,,M,22.0,18.0,Taurus
913,Kyungil,Song Kyungil,1987-11-28,HISTORY,2013-04-26,LOEN,South Korea,183.0,72.0,,,,M,36.0,25.0,Sagittarius
914,Kyungjun,Woo Kyungjun,2002-08-30,TNX,2022-05-17,P NATION,South Korea,,,Seoul,,,M,21.0,19.0,Virgo
915,Kyungmin,Jo Kyungmin,2004-10-28,8TURN,2023-01-30,MNH,South Korea,187.0,60.0,Gyeonggi,,,M,19.0,18.0,Scorpio
916,Kyungmun,Lim Kyungmun,2003-06-29,YOUNITE,2022-04-20,Brand New,South Korea,,,,,,M,20.0,18.0,Cancer
917,Kyungri,Park Kyungri,1990-07-05,9Muses,2010-08-12,Star Empire,South Korea,170.0,50.0,Busan,9MUSES A,,F,33.0,20.0,Cancer
918,Kyungyoon,Lee Kyungyoon,2000-02-21,Dongkiz,2019-04-24,Dongyo,South Korea,177.0,58.0,,,,M,24.0,19.0,Pisces
919,L,Kim Myungsoo,1992-03-13,Infinite,2010-06-09,Woollim,South Korea,180.0,60.0,Seoul,Infinite F,,M,32.0,18.0,Pisces
920,L.Joe,Lee Byunghun,1993-11-23,,,,South Korea,,,Gunsan,,Teen Top,M,30.0,,Sagittarius
921,Lai Kuanlin,Lai Kuanlin,2001-09-23,Wanna One,2017-08-07,YMC,Taiwan,,,New Taipei,,,M,22.0,15.0,Libra
922,Laon,Shin Kyuhyun,1995-12-19,ENOi,2019-04-19,KITHEWHALE,South Korea,177.0,60.0,,,,M,28.0,23.0,Sagittarius
923,Lara,Moon Shinae,2000-08-09,Dreamnote,2018-11-07,iME,South Korea,161.0,44.0,,,,F,23.0,18.0,Leo
924,Laun,Kim Minseok,1999-08-12,,,,South Korea,,,Seongsan,,ONF,M,24.0,,Leo
925,Lay,Zhang Yixing,1991-10-07,EXO,2012-04-08,SM,China,177.0,60.0,Changsa,,,M,32.0,20.0,Libra
926,Layeon,Lee Jimin,1998-08-13,Purplebeck,2019-06-24,Majesty,South Korea,170.0,51.0,,,,F,25.0,20.0,Leo
927,LE,Ahn Hyejin,1991-12-10,EXID,2012-02-16,Yedang,South Korea,168.0,,Cheonan,,,F,32.0,20.0,Sagittarius
928,Lea,Ogawa Mizuki,1995-08-12,SECRET NUMBER,2020-05-19,Vine,Japan,169.0,,Tokyo,,Skarf,F,28.0,24.0,Leo
929,Lee Haein,Lee Haein,1992-07-04,I.B.I,2014-10-29,Star Crew,South Korea,165.0,49.0,Changwon,,,F,31.0,22.0,Cancer
930,Lee Hoo,Moon Junyoung,1989-02-09,ZE:A,2010-01-07,Star Empire,South Korea,,,Seoul,,,M,35.0,20.0,Aquarius
931,Lee Hyeop,Lee Hyeop,1999-08-13,DRIPPIN,2020-10-26,Woollim,South Korea,177.0,57.0,,,,M,24.0,21.0,Leo
932,Lee Jin,Shim Yerin,2001-03-12,Hi-L,2021-08-11,Kpop Live,South Korea,,,,,,F,23.0,20.0,Pisces
933,Lee Joon,Lee Changseon,1988-02-07,,,,South Korea,,,Seoul,,MBLAQ,M,36.0,,Aquarius
934,Lee Know,Lee Minho,1998-10-25,Stray Kids,2018-03-25,JYP,South Korea,,,Gimpo,,,M,25.0,19.0,Scorpio
935,Lee Soo,Jin Isoo,2001-06-27,PRECIOUS,2020-09-23,Umi,South Korea,163.0,47.0,Incheon,,,F,22.0,19.0,Cancer
936,Lee Suhyun,Lee Suhyun,1996-11-05,I.B.I,2014-10-29,Star Crew,South Korea,167.0,50.0,Ansan,,,F,27.0,17.0,Scorpio
937,Leedo,Kim Geonhak,1997-07-26,Oneus,2019-01-09,RBW,South Korea,,,,,,M,26.0,21.0,Leo
938,Leeseo,Lee Hyunseo,2007-02-21,IVE,2021-12-01,Starship,South Korea,170.0,48.0,,,,F,17.0,14.0,Pisces
939,Leeteuk,Park Jeongsu,1983-07-01,Super Junior,2005-11-06,SM,South Korea,179.0,59.0,Seoul,,,M,40.0,22.0,Cancer
940,Leia,Larissa Kartes,2001-05-14,Blackswan,2020-10-16,DR,Brazil,,,Curitiba,,,F,22.0,19.0,Taurus
941,Lena,Kang Rena,2002-04-17,GWSN,2018-09-05,Kiwi Pop,South Korea,,,,,,F,21.0,16.0,Aries
942,Leo,Hayase Leo,2002-10-08,T1419,2007-09-21,CJ E&M,Japan,,,,,,M,21.0,4.0,Libra
943,Leo,Jung Taekwon,1990-11-10,VIXX,2012-05-24,Jellyfish,South Korea,183.0,63.0,Seoul,VIXX LR,,M,33.0,21.0,Scorpio
944,Leon,Kim Donghyun,2000-07-25,TRENDZ,2022-01-05,Interpark,South Korea,,,,,,M,23.0,21.0,Leo
945,Lew,Lee Euiwoong,2001-04-05,TEMPEST,2022-03-02,Yuehua,South Korea,170.0,55.0,,HyeongseopXEuiwoong,,M,22.0,20.0,Aries
946,Lex,Jeon Hyungmin,1993-01-12,Bigflo,2014-07-19,HO,South Korea,,,,,,M,31.0,21.0,Capricorn
947,Lia,Choi Jisu,2000-07-21,ITZY,2019-02-12,JYP,South Korea,,,Incheon,,,F,23.0,18.0,Cancer
948,Lien,Shimada Sho,1998-03-11,Mirae,2021-03-17,DSP,Japan,,,Osaka,,,M,26.0,23.0,Pisces
949,Lily,Lily Jin Morrow,2002-10-17,NMIXX,2022-02-22,JYP,Australia,,,Marysville,,,F,21.0,19.0,Libra
950,Lim Jimin,Lim Jimin,2001-05-22,JUST B,2021-06-30,Bluedot,South Korea,178.0,59.0,,,,M,22.0,20.0,Gemini
951,Lime,Kim Hyerim,1993-01-19,Hello Venus,2012-05-09,Fantagio,South Korea,169.0,50.0,,,,F,31.0,19.0,Capricorn
952,Lin Lin,Huang Ziting,2003-07-05,,,,Taiwan,,,,,Cherry Bullet,F,20.0,,Cancer
953,Lina,Oh Sejin,1997-07-27,ANS,2019-09-16,ANS,South Korea,,,,,,F,26.0,22.0,Leo
954,Lina,Oh Hyesoo,1997-05-23,RedSquare,2020-05-19,About,South Korea,,,,,,F,26.0,22.0,Gemini
955,Linzy,Im Minji,1989-10-22,Fiestar,2012-08-31,LOEN,South Korea,168.0,,Incheon,,,F,34.0,22.0,Libra
956,Lisa,Pranpriya Manoban,1997-03-27,BLACKPINK,2016-08-08,YG,Thailand,170.0,46.0,Bangkok,,,F,26.0,19.0,Aries
957,Liv,Kim Chaeyoung,1997-07-05,IRRIS,2022-07-06,Mellow,South Korea,,,Gunsan,,Good Day| RedSquare,F,26.0,25.0,Cancer
958,Liyah,Moon Liya,2000-05-11,MIXX,2016-05-02,Chiko,South Korea,175.0,52.0,,,,F,23.0,15.0,Taurus
959,Liz,Kim Jiwon,2004-11-21,IVE,2021-12-01,Starship,South Korea,170.0,49.0,,,,F,19.0,17.0,Scorpio
960,Lizzy,Park Sooyoung,1992-07-31,After School,2009-01-15,Pledis,South Korea,,,Busan,Orange Caramel,,F,31.0,16.0,Leo
961,Loha,Kang Yejin,2001-12-27,Nature,2018-08-03,n.CH,South Korea,171.0,,,,,F,22.0,16.0,Capricorn
962,Lola,Choi Yoojung,2001-02-22,Pixy,2021-02-24,ALLART,South Korea,169.0,,,,,F,23.0,20.0,Pisces
963,Longguo,Jin Longguo,1996-03-02,JBJ,2017-10-18,Fave,China,,,Heilong,,,M,28.0,21.0,Pisces
964,Lou,Kim Hosung,1996-12-21,VAV,2015-10-31,A team,South Korea,187.0,69.0,,,,M,27.0,18.0,Sagittarius
965,Loudi,Won Jihoon,1996-04-13,14U,2017-04-17,BG,Indonesia,,,,,,M,27.0,21.0,Aries
966,Louis,Kim Taewoo,1999-04-23,BLANK2Y,2022-05-24,Keystone,South Korea,172.0,62.0,,,1the9,M,24.0,23.0,Taurus
967,Louis,Yang Dongsik,2001-04-08,Kingdom,2021-02-18,GF,South Korea,,,,,,M,22.0,19.0,Aries
968,Love,Park Jisung,1994-01-17,,,,South Korea,,,,,OnlyOneOf,M,30.0,,Capricorn
969,Lu,Im Hayoung,1997-12-03,NATURE,2018-08-03,n.CH,South Korea,,,,,,F,26.0,20.0,Sagittarius
970,LuA,Jo Hankyeung,1991-09-14,BADKIZ,2014-03-24,Zoo,South Korea,,,Busan,,,F,32.0,22.0,Virgo
971,Lua,Kim Sookyung,2000-10-06,Weki Meki,2017-08-08,Fantagio,South Korea,,,,,,F,23.0,16.0,Libra
972,Lucas,Wong Junghei,1999-01-25,NCT,2016-04-09,SM,Hong Kong,,,,SuperM,,M,25.0,17.0,Aquarius
973,Lucy,Noh Hyojung,2002-08-31,Weki Meki,2017-08-08,Fantagio,South Korea,,,Goyang,,,F,21.0,14.0,Virgo
974,Lucy,Kim Daeun,2004-04-09,woo!ah!,2020-05-15,NV,South Korea,,,,,,F,19.0,16.0,Aries
975,Luda,Lee Luda,1997-03-06,WJSN,2016-02-25,Starship,South Korea,157.0,,Seoul,WJSN Chocome| WJMK,,F,27.0,18.0,Pisces
976,Luha,Lee Gyeonghun,1993-02-15,14U,2017-04-17,BG,South Korea,,,,,,M,31.0,24.0,Aquarius
977,Luhan,Lu Han,1990-04-20,,,,China,178.0,62.0,Haidian,,EXO,M,33.0,,Taurus
978,Luna,Park Sunyoung,1993-08-12,f(x),2009-09-05,SM,South Korea,162.0,,Seoul,,,F,30.0,16.0,Leo
979,Lune,Jung Sungmin,2000-02-27,DKB,2020-02-03,Brave,South Korea,176.0,55.0,,,,M,24.0,19.0,Pisces
980,Lutan,Choi Gyeongseok,2003-12-06,BLITZERS,2021-05-12,Wuzo,South Korea,,,,,,M,20.0,17.0,Sagittarius
981,Manny,Syo Dongchun,2001-11-17,VARSITY,2017-01-05,GKC,China,170.0,64.0,,,,M,22.0,15.0,Scorpio
982,Marco,Lee Hyunggeun,1994-05-11,Hot Blood Youth,2017-05-17,FNC,South Korea,,,,,,M,29.0,23.0,Taurus
983,Marin,Yasufuku Marin,2001-03-17,Bling Bling,2020-11-17,Major9,Japan,,,Osaka,,,F,22.0,19.0,Pisces
984,Mark,Mark Yien Tuan,1993-09-04,GOT7,2014-01-16,JYP,USA,175.0,59.0,Los Angeles,,,M,30.0,20.0,Virgo
985,Mark,Mark Lee,1999-08-02,NCT,2016-04-09,SM,Canada,,,Vancouver,NCT U| NCT 127| NCT Dream| SuperM,,M,24.0,16.0,Leo
986,Mashiho,Takata Mashiho,2001-03-25,Treasure,2020-08-07,YG,Japan,,,,,,M,22.0,19.0,Aries
987,Mashiro,Sakamoto Mashiro,1999-12-16,Kep1er,2022-03-01,WakeOne,Japan,157.0,,,,,F,24.0,22.0,Sagittarius
988,Max Changmin,Shim Changmin,1988-02-18,TVXQ,1995-09-06,MBK| Turbo Co.,South Korea,,,Seoul,,,M,36.0,7.0,Aquarius
989,May,Jeong Chaeyoung,2001-07-27,,,,South Korea,,,,,NeonPunch,F,22.0,,Leo
990,May,Hirokawa Mao,2004-11-16,Cherry Bullet,2019-01-21,FNC,Japan,,,,,,F,19.0,14.0,Scorpio
991,Mayna,Shaoxi Mengna,2000-05-12,HOT ISSUE,2017-05-17,FNC,China,170.0,47.0,,,,F,23.0,17.0,Taurus
992,Medic Jin,Bae Yujin,1996-08-25,Girlkind,2018-01-16,Nextlevel,South Korea,,167.0,,,,F,27.0,21.0,Virgo
993,Meiqi,Meng Meiqi,1998-10-15,,,,China,164.0,,Luoyang,,WJSN,F,25.0,,Libra
994,Mia,Han Eunji,2000-01-13,Everglow,2019-03-18,Yuehua,South Korea,,,,,,F,24.0,19.0,Capricorn
995,Mia,Son Hyunmi,1997-12-31,MIXX,2016-05-02,Chiko,South Korea,174.0,,,,,F,26.0,18.0,Capricorn
996,Mihee,Lee Mihee,2000-08-24,BOTOPASS,2020-08-26,WKS ENE,South Korea,,,,,,F,23.0,20.0,Virgo
997,Mijoo,Lee Mijoo,1994-09-23,Lovelyz,2014-11-17,Woollim,South Korea,167.0,47.0,Okcheon,,,F,29.0,20.0,Libra
998,Mikey,Morisaki Daisuke,2001-05-05,BLANK2Y,2022-05-24,Keystone,Japan,176.0,58.0,Hyogo,,,M,22.0,21.0,Taurus
999,Miko,Matsuda Miko,1995-10-28,Honey Popcorn,2018-03-21,Kyun Create,Japan,,,,,,F,28.0,22.0,Scorpio
1000,Miku,Katae Miku,2002-10-09,Pink Fantasy,2018-10-28,My Doll,Japan,,,,,,F,21.0,16.0,Libra
1001,Mill,Lee Yongsoo,1999-03-30,OnlyOneOf,2019-05-28,RSVP,South Korea,,,,,,M,24.0,20.0,Aries
1002,Milo,Kim Minhak,1996-08-20,Romeo,2015-11-04,CT,South Korea,,,,,,M,27.0,19.0,Leo
1003,Mimi,Jung Mimi,1993-01-01,Gugudan,2016-06-28,Jellyfish,South Korea,163.0,,,,,F,31.0,23.0,Capricorn
1004,Mimi,Kim Mihyun,1995-05-01,Oh My Girl,2015-04-21,WM,South Korea,163.0,50.0,Jeju,,,F,28.0,19.0,Taurus
1005,Min,Lee Minyoung,1991-06-21,miss A,2010-07-01,JYP,South Korea,161.0,,Seoul,,,F,32.0,19.0,Cancer
1006,Min,Lee Mincheon,1997-10-16,We In The Zone,2019-05-27,Choon,South Korea,171.0,50.0,Seoul,,,M,26.0,21.0,Libra
1007,Mina,Kwon Mina,1993-09-21,,,,South Korea,159.0,43.0,Busan,,AOA| AOA BLACK,F,30.0,,Virgo
1008,Mina,Kang Mina,1999-12-04,Gugudan,2016-06-28,Jellyfish,South Korea,162.0,48.0,Icheon,Gugudan Oguogu,I.O.I,F,24.0,16.0,Sagittarius
1009,Mina,Myoui Mina,1997-03-24,Twice,2015-10-20,JYP,Japan,163.0,,San Antonio,MISAMO,,F,26.0,18.0,Aries
1010,Minah,Bang Minah,1993-05-13,Girl's Day,2010-07-09,DreamT,South Korea,165.0,47.0,Incheon,,,F,30.0,17.0,Taurus
1011,Minchan,Hong Minchan,1998-09-16,Verivery,2019-09-01,Jellyfish,South Korea,,,,,,M,25.0,20.0,Virgo
1012,Mingi,Son Mingi,1999-08-09,ATEEZ,2018-10-24,KQ,South Korea,183.0,,,,,M,24.0,19.0,Leo
1013,Mingyu,Kim Mingyu,1997-04-06,Seventeen,2015-05-26,Pledis,South Korea,185.0,65.0,Anyang,,,M,26.0,18.0,Aries
1014,Minha,Park Minha,1991-06-27,,,,South Korea,172.0,47.0,Seoul,,9Muses,F,32.0,,Cancer
1015,Minhee,Kang Minhee,2002-09-17,CRAVITY,2020-04-14,Starship,South Korea,185.0,58.0,,,X1,M,21.0,17.0,Virgo
1016,Minhee,Joo Minhee,1993-01-03,Stellar,2011-08-28,Pascal,South Korea,,,Seoul,,,F,31.0,18.0,Capricorn
1017,Minho,Yang Minho,2002-10-14,8TURN,2023-01-30,MNH,South Korea,179.0,59.0,,,,M,21.0,20.0,Libra
1018,Minho,Lee Minho,1995-09-04,MY.st,2020-03-26,MYStar,South Korea,,,,,,M,28.0,24.0,Virgo
1019,Minho,Choi Minho,1991-12-09,SHINee,2008-05-25,SM,South Korea,181.0,60.0,Incheon,,,M,32.0,16.0,Sagittarius
1020,Minhwan,Choi Minhwan,1992-11-11,FTISLAND,2007-06-07,FNC,South Korea,,,Seoul,,,M,31.0,14.0,Scorpio
1021,Minhyuk,Lee Minhyuk,1990-11-29,BtoB,2012-03-21,Cube,South Korea,173.0,61.0,Seoul,,,M,33.0,21.0,Sagittarius
1022,Minhyuk,Kang Minhyuk,1991-06-28,CNBLUE,2010-01-14,FNC,South Korea,,,Ilsan,,,M,32.0,18.0,Cancer
1023,Minhyuk,Kim Minhyuk,1999-11-06,D-CRUNCH,2018-08-06,All-S,South Korea,,,,,,M,24.0,18.0,Scorpio
1024,Minhyuk,Lee Minhyuk,1993-11-03,MONSTA X,2014-05-14,Starship,South Korea,,,,,,M,30.0,20.0,Scorpio
1025,Minhyun,Hwang Minhyun,1995-08-09,NU'EST,2012-03-15,Pledis,South Korea,,,Busan,NU'EST,Wanna One,M,28.0,16.0,Leo
1026,Mini,,2000-06-12,Purplebeck,2019-06-24,Majesty,South Korea,168.0,47.0,,,,F,23.0,19.0,Gemini
1027,Minjae,Song Minjae,2003-08-23,MCND,2020-02-27,TOP Media,South Korea,,,,,,M,20.0,16.0,Virgo
1028,Minjae,Seong Minjae,1994-12-18,Sonamoo,2014-12-29,TS,South Korea,165.0,,Busan,,,F,29.0,20.0,Sagittarius
1029,Minjae,Jo Minjae,1994-08-08,Spectrum,2018-05-09,WYNN,South Korea,,,,,,M,29.0,23.0,Leo
1030,Minjae,Shin Minjae,1991-08-13,Tahiti,2012-06-23,J-line,South Korea,,,Busan,,,F,32.0,20.0,Leo
1031,Minjae,Kim Minjae,2003-04-10,xikers,2023-03-30,KQ,South Korea,,,Seoul,,,M,20.0,19.0,Aries
1032,Minji,Kim Minji,2001-01-16,Busters,2017-11-27,JTG,South Korea,,,,,,F,23.0,16.0,Capricorn
1033,Minji,Kim Minji,2004-05-07,NewJeans,2022-07-22,ADOR,South Korea,169.0,,Yeongwol,,,F,19.0,18.0,Taurus
1034,Minjoo,Kim Minjoo,2001-02-05,IZ*ONE,2018-10-29,Off The Record,South Korea,,,Seoul,,,F,23.0,17.0,Aquarius
1035,Minju,Kang Minjoo,2001-03-11,GWSN,2018-09-05,Kiwi Pop,South Korea,,,,,,F,23.0,17.0,Pisces
1036,Minjun,Kim Minjun,1999-02-26,NINE.i,2022-03-30,FirstOne,South Korea,,,,,,M,25.0,23.0,Pisces
1037,Minjung,Cha Minjung,2004-07-15,,,,South Korea,,,,,Busters,F,19.0,,Cancer
1038,Minkyung,Kang Minkyung,1990-08-03,Davichi,2008-02-04,CJ E&M,South Korea,,,Goyang,,,F,33.0,17.0,Leo
1039,Minnie,Nicha Yontararak,1997-10-23,(G)I-DLE,2018-05-02,Cube,Thailand,,,,,,F,26.0,20.0,Scorpio
1040,Mino,Song Minho,1993-03-30,WINNER,2014-08-12,YG,South Korea,,,Yongin,,,M,30.0,21.0,Aries
1041,Minpyo,Gook Minpyo,1994-11-15,B.I.G,2014-07-09,GH,South Korea,173.0,57.0,Gwangju,,,M,29.0,19.0,Scorpio
1042,Minseo,Kim Minseo,2002-05-13,DRIPPIN,2020-10-26,Woollim,South Korea,177.0,53.0,,,,M,21.0,18.0,Taurus
1043,Minseo,Park Minseo,2003-03-21,Saturday,2018-07-18,SD,South Korea,163.0,45.0,,,,F,20.0,15.0,Aries
1044,Minseo,Kim Minseo,2004-08-12,woo!ah!,2020-05-15,NV,South Korea,,,,,,F,19.0,15.0,Leo
1045,Minsu,Park Minsu,1993-04-15,Boys Republic,2013-06-03,Happy Tribe| Universal,South Korea,172.0,55.0,Gwangju,,,M,30.0,20.0,Aries
1046,Minsu,Kim Minsu,2000-03-20,TOO,2020-04-01,n.CH,South Korea,,,,,,M,23.0,20.0,Pisces
1047,Minsung,Kim Minhwi,1996-12-24,Romeo,2015-11-04,CT,South Korea,,,,,,M,27.0,18.0,Capricorn
1048,Mint,Kunpat Phonpawiworakun,1994-06-23,Tiny-G,2012-08-23,GNG,Thailand,150.0,42.0,,,,F,29.0,18.0,Cancer
1049,Minwoo,No Minwoo,1995-07-31,Boyfriend,2011-05-26,Starship,South Korea,174.0,60.0,Anyang,,,M,28.0,15.0,Leo
1050,Minwoo,Lee Minwoo,1979-07-28,Shinhwa,1998-03-24,SM| Good| Shinhwa,South Korea,172.0,60.0,Namwon,,,M,44.0,18.0,Leo
1051,Minwoo,Ha Minwoo,1990-09-06,ZE:A,2010-01-07,Star Empire,South Korea,,,Yangsan,,,M,33.0,19.0,Virgo
1052,Minwoo†,Seo Minwoo,1985-02-08,100%,2012-09-18,TOP Media,South Korea,,,Daegu,,,M,39.0,27.0,Aquarius
1053,Minyoung,Kim Minyeong,1990-09-12,Brave Girls,2011-04-08,Brave,South Korea,,,Seongnam,,,F,33.0,20.0,Virgo
1054,Minzy,Kong Minji,1994-01-18,2NE1,2009-05-06,YG,South Korea,,,,,,F,30.0,15.0,Capricorn
1055,Mir,Lee Yoonsang,2000-03-06,Astin,2022-11-16,AB Creative,South Korea,,,,,,M,24.0,22.0,Pisces
1056,Mir,Bang Cheolyong,1991-03-10,MBLAQ,2009-10-14,J. Tune,South Korea,,,Bukhamyeon,,,M,33.0,18.0,Pisces
1057,Mire,Su Mire,2006-03-26,TRI.BE,2021-02-17,TR - Mellow,Japan,,,,,,F,17.0,14.0,Aries
1058,Miryo,Jo Mihye,1981-11-02,Brown Eyed Girls,2006-03-02,Mystic,South Korea,,,,,,F,42.0,24.0,Scorpio
1059,Miso,Jeon Jimin,2000-10-25,Dreamnote,2018-11-07,iME,South Korea,160.0,43.0,,,,F,23.0,18.0,Scorpio
1060,Miso,Park Jihyun,1996-09-16,P.O.P,2017-07-26,DWM,South Korea,,,Busan,,,F,27.0,20.0,Virgo
1061,Miso,Park Miso,1991-04-04,Tahiti,2012-06-23,J-line,South Korea,,,Gwangju,,,F,32.0,21.0,Aries
1062,MiU,Ito Miyu,2003-01-09,LIMELIGHT,2023-02-17,143,Japan,164.0,42.0,Tokyo,,,F,21.0,20.0,Capricorn
1063,Miya,Miyauchi Haruka,1993-05-26,GWSN,2018-09-05,Kiwi Pop,Japan,,,,,,F,30.0,25.0,Gemini
1064,Miyeon,Jo Miyeon,1997-01-31,(G)I-DLE,2018-05-02,Cube,South Korea,,,,,,F,27.0,21.0,Aquarius
1065,MJ,Kim Myungjun,1994-03-05,ASTRO,2016-02-23,Fantagio,South Korea,,,Nowon,,,M,30.0,21.0,Pisces
1066,MK,Park Minkyun,1995-11-16,ONF,2017-08-02,WM,South Korea,,,Ilsan,,,M,28.0,21.0,Scorpio
1067,Moko,Sakura Moko,1991-03-19,Honey Popcorn,2018-03-21,Kyun Create,Japan,,,,,,F,32.0,27.0,Pisces
1068,Momo,Hirai Momo,1996-11-09,Twice,2015-10-20,JYP,Japan,167.0,,Kyoto,MISAMO,,F,27.0,18.0,Scorpio
1069,Momoka,Matsuda Momoka,2000-12-26,Pink Fantasy,2018-10-28,My Doll,Japan,152.0,,,,,F,23.0,17.0,Capricorn
1070,Monday,Kim Jimin,2002-05-10,Weeekly,2020-07-30,Play M,South Korea,172.0,,,,,F,21.0,18.0,Taurus
1071,Monika,Kang Yeh,1991-05-21,BADKIZ,2014-03-24,Zoo,South Korea,,,Seoul,,,F,32.0,22.0,Gemini
1072,Moon Bin,Moon Bin,1998-01-26,ASTRO,2016-02-23,Fantagio,South Korea,,,Cheongju,,,M,26.0,18.0,Aquarius
1073,Moon Sua,Moon Sua,1999-09-09,Billlie,2021-11-10,MYSTIC,South Korea,167.0,47.0,Cheongju,,,F,24.0,22.0,Virgo
1074,Moonbyul,Moon Byulyi,1992-12-22,Mamamoo,2014-06-18,RBW,South Korea,165.0,45.0,Bucheon,,,F,31.0,21.0,Capricorn
1075,Moonhee,Choi Moonhee,1997-04-15,Bonus Baby,2017-01-01,Maroo,South Korea,167.0,,,,MyB,F,26.0,19.0,Aries
1076,Moonvok,Jang Moonvok,1995-04-11,Limitless,2019-07-09,ONO,South Korea,168.0,48.0,,,,M,28.0,24.0,Aries
1077,Mu,Suh Kyungmin,2003-09-14,EPEX,2021-06-08,C9,South Korea,184.0,63.0,,,,M,20.0,17.0,Virgo
1078,Mujin,Ko Sungho,2000-11-20,Kingdom,2021-02-18,GF,South Korea,,,,,,M,23.0,20.0,Scorpio
1079,Munik,Jang Moonik,2001-03-20,Dongkiz,2019-04-24,Dongyo,South Korea,173.0,50.0,,,,M,22.0,18.0,Pisces
1080,Muzin,Kim Hyunwoo,2001-03-29,BAE173,2020-11-19,PocketDol,South Korea,,,,,,M,22.0,19.0,Aries
1081,Myungho,Ji Myungho,2001-10-12,8TURN,2023-01-30,MNH,South Korea,177.0,62.0,,,,M,22.0,21.0,Libra
1082,Myungji,Kim Myungji,1997-10-09,Tiny-G,2012-08-23,GNG,South Korea,164.0,,,,,F,26.0,14.0,Libra
1083,N,Cha Hakyeon,1990-06-30,VIXX,2012-05-24,Jellyfish,South Korea,180.0,65.0,Changwon,Big Byung,,M,33.0,21.0,Cancer
1084,Nada,Yoon Yejin,1991-05-24,,,,South Korea,,,,,Wassup,F,32.0,,Gemini
1085,Naeun,Son Naeun,1994-02-10,,,,South Korea,168.0,,Seoul,,Apink,F,30.0,,Aquarius
1086,Naeun,Lee Naeun,1999-05-05,APRIL,2015-08-24,DSP,South Korea,,,Daejeon,,,F,24.0,16.0,Taurus
1087,Nahyun,Kang Nahyun,2002-01-25,HOT ISSUE,2017-05-17,FNC,South Korea,,,,,,F,22.0,15.0,Aquarius
1088,Nahyun,Kim Nahyun,1995-12-09,Sonamoo,2014-12-29,TS,South Korea,170.0,,Seoul,,,F,28.0,19.0,Sagittarius
1089,Nako,Yabuki Nako,2001-06-18,IZ*ONE,2018-10-29,Off The Record,Japan,,,Tokyo,,,F,22.0,17.0,Gemini
1090,Nakta,Shin Yooncheol,1993-04-24,,,,South Korea,,,Daegu,,Topp Dogg,M,30.0,,Taurus
1091,Nakyung,Lee Nakyung,2000-06-01,fromis_9,2018-01-24,Off The Record,South Korea,159.0,42.0,Mungyeong,,,F,23.0,17.0,Gemini
1092,Nakyung,Kim Nakyung,2002-10-13,tripleS,2023-02-13,MODHAUS,South Korea,166.0,,Ulsan,,,F,21.0,20.0,Libra
1093,Namjoo,Kim Namjoo,1995-04-15,Apink,2011-04-19,Plan A,South Korea,165.0,,Seoul,,,F,28.0,16.0,Aries
